location,list_price,unit_price,number_bedroom,number_bathroom,area,type
"Johor Bahru, Johor","RM 578,000","(RM 4,446 / m2)",5,,130 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 612,000",,2,1,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 568,000",,2,1,,Condo
"Johor Bahru, Johor","RM 2,050,000","(RM 4,597 / m2)",,6,445.92 m2,Commercial
"Putrajaya, Putrajaya","RM 340,000",,4,2,,Condo
"Putrajaya, Putrajaya","RM 340,000",,4,2,,Condo
"Putrajaya, Putrajaya","RM 210,000",,1,1,,Condo
"Johor Bahru, Johor","RM 1,200,000","(RM 3,588 / m2)",,2,334.44 m2,Commercial
"Johor Bahru, Johor","RM 2,750,000","(RM 1,786 / m2)",,2,"1,540 m2",Commercial
"Johor Bahru, Johor","RM 5,600,000",,1,6,,Commercial
"Kuala Langat, Selangor","RM 450,000",,4,3,,House
"Kuala Lumpur, Kuala Lumpur","RM 17,139,000","(RM 16,207 / m2)",,,"1,057.48 m2",Office
"Kuala Lumpur, Kuala Lumpur","RM 1,655,000","(RM 15,920 / m2)",,,103.96 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 1,774,000","(RM 16,129 / m2)",,,109.99 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 10,050,000","(RM 9,757 / m2)",,,"1,029.98 m2",Office
"Kuala Lumpur, Kuala Lumpur","RM 15,700,000","(RM 16,510 / m2)",,,950.92 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 10,940,000","(RM 10,037 / m2)",,,"1,090 m2",Office
"Kuala Lumpur, Kuala Lumpur","RM 11,090,000","(RM 9,797 / m2)",,,"1,131.99 m2",Office
"Kuala Lumpur, Kuala Lumpur","RM 2,048,200","(RM 11,841 / m2)",,,172.98 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 957,950","(RM 12,378 / m2)",,,77.39 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 5,592,000","(RM 16,946 / m2)",,,329.98 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 1,679,000","(RM 16,627 / m2)",,,100.98 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 4,284,800","(RM 6,889 / m2)",,,621.97 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 10,100,000","(RM 10,040 / m2)",,,"1,006.01 m2",Office
"Johor Bahru, Johor","RM 1,050,000",,5,5,,Villa
"Kuala Lumpur, Kuala Lumpur","RM 197,000",,2,1,,Condo
Johor,"RM 580,000",,,4,,Commercial
"Klang, Selangor","RM 14,262,504",,,,"18,928.38 m2",
"Klang, Selangor","RM 31,889,269",,,,"42,321.62 m2",
"Johor Bahru, Johor","RM 990,000","(RM 6,181 / m2)",,,160.16 m2,Commercial
"Klang, Selangor","RM 17,626,764",,,,"23,393.23 m2",
"Johor Bahru, Johor","RM 2,500,000","(RM 5,470 / m2)",,,457 m2,Commercial
"Johor Bahru, Johor","RM 435,000",,,2,,Commercial
"Johor Bahru, Johor","RM 5,000,000",,,,"5,411.97 m2",
"Johor Bahru, Johor","RM 2,800,000","(RM 5,070 / m2)",,,552.31 m2,Commercial
"Johor Bahru, Johor","RM 4,224,690",,,,"4,361 m2",
"Kuala Lumpur, Kuala Lumpur","RM 2,100,000","(RM 5,707 / m2)",,,368 m2,Commercial
"Pontian, Johor","RM 6,783,722",,,,"33,170 m2",
"Johor Bahru, Johor","RM 9,852,727",,,,"16,642.7 m2",
"Seremban, Negeri Sembilan","RM 350,000",(RM 194 / m2),4,4,"1,800 m2",House
"Kuala Lumpur, Kuala Lumpur","RM 510,000",(RM 500 / m2),3,2,"1,021 m2",Apartment
"Kinta, Perak","RM 448,800","(RM 2,877 / m2)",4,4,156 m2,House
"Kinta, Perak","RM 308,800","(RM 3,357 / m2)",4,2,92 m2,House
"Kinta, Perak","RM 478,000","(RM 2,685 / m2)",4,4,178 m2,House
"Kinta, Perak","RM 195,500","(RM 2,642 / m2)",3,2,74 m2,House
"Kinta, Perak","RM 195,500","(RM 2,642 / m2)",3,2,74 m2,House
"Kinta, Perak","RM 278,880","(RM 3,002 / m2)",4,2,92.9 m2,House
"Kinta, Perak","RM 448,800","(RM 2,877 / m2)",4,4,156 m2,House
"Kinta, Perak","RM 408,800","(RM 2,297 / m2)",4,4,178 m2,House
"Penampang, Sabah","RM 811,170",,5,3,229 m2,House
Johor,"RM 1,190,000",(RM 350 / m2),4,4,"3,400 m2",House
"Kinta, Perak","RM 328,800","(RM 3,535 / m2)",4,2,93 m2,House
"Kinta, Perak","RM 478,000","(RM 2,685 / m2)",4,4,178 m2,House
"Papar, Sabah","RM 290,000","(RM 3,625 / m2)",3,2,80 m2,House
"Kinta, Perak","RM 520,000","(RM 2,811 / m2)",5,4,185 m2,House
"Kinta, Perak","RM 208,000","(RM 1,722 / m2)",3,2,120.77 m2,Apartment
"Kinta, Perak","RM 298,800","(RM 3,213 / m2)",4,2,93 m2,House
"Kinta, Perak","RM 478,000","(RM 2,685 / m2)",4,4,178 m2,House
"Ulu Langat, Selangor","RM 800,000",(RM 390 / m2),5,4,"2,052 m2",House
"Keningau, Sabah","RM 360,000","(RM 2,250 / m2)",3,2,160 m2,House
"Ulu Langat, Selangor","RM 164,000",(RM 229 / m2),3,1,715 m2,Apartment
"Kuala Muda, Kedah","RM 380,000","(RM 2,275 / m2)",4,3,167 m2,House
"Kinta, Perak","RM 358,800","(RM 2,136 / m2)",4,4,168 m2,House
"Kinta, Perak","RM 378,000","(RM 4,247 / m2)",3,2,89 m2,House
"Penampang, Sabah","RM 2,278,888","(RM 4,659 / m2)",5,6,489.13 m2,House
"Kinta, Perak","RM 628,000","(RM 2,414 / m2)",5,4,260.13 m2,House
"Gombak, Selangor","RM 837,000",(RM 474 / m2),4,3,"1,764 m2",House
"Kinta, Perak","RM 438,000","(RM 2,738 / m2)",4,4,160 m2,House
"Ulu Selangor, Selangor","RM 580,000",(RM 242 / m2),4,3,"2,400 m2",House
"Kuala Lumpur, Kuala Lumpur","RM 828,000","(RM 3,714 / m2)",4,4,222.96 m2,House
"Gombak, Selangor","RM 760,000","(RM 3,896 / m2)",4,3,195.09 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 1,080,000","(RM 4,506 / m2)",4,4,239.68 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 1,188,000","(RM 20,462 / m2)",1,1,58.06 m2,Condo
"Kinta, Perak","RM 358,000","(RM 3,854 / m2)",4,2,92.9 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 768,000","(RM 3,937 / m2)",4,3,195.09 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 1,150,000","(RM 4,761 / m2)",4,4,241.54 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 828,000","(RM 3,714 / m2)",4,4,222.96 m2,House
"Gombak, Selangor","RM 820,000","(RM 3,678 / m2)",4,4,222.96 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 545,000","(RM 5,457 / m2)",3,2,99.87 m2,Condo
"Kinta, Perak","RM 218,800","(RM 2,141 / m2)",4,2,102.19 m2,House
"Gombak, Selangor","RM 828,000","(RM 3,714 / m2)",4,4,222.96 m2,House
"Alor Gajah, Melaka","RM 900,000","(RM 29,596 / m2)",1,1,30.41 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 928,000","(RM 4,162 / m2)",4,4,222.96 m2,House
"Gombak, Selangor","RM 828,800","(RM 3,879 / m2)",4,4,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 1,430,000","(RM 20,719 / m2)",1,1,69.02 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 420,000","(RM 2,826 / m2)",3,2,148.64 m2,Condo
"Johor Bahru, Johor","RM 468,000",(RM 502 / m2),3,2,933 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 4,200,000","(RM 12,689 / m2)",4,5,331 m2,Condo
"Gombak, Selangor","RM 780,000","(RM 3,998 / m2)",4,4,195.09 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 520,040","(RM 4,522 / m2)",3,2,115.01 m2,Condo
"Gombak, Selangor","RM 768,800","(RM 3,849 / m2)",4,3,199.73 m2,House
"Gombak, Selangor","RM 828,800","(RM 3,879 / m2)",4,4,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 475,000","(RM 1,894 / m2)",3,3,250.83 m2,Townhouse
"Kuala Lumpur, Kuala Lumpur","RM 828,000","(RM 3,714 / m2)",4,4,222.96 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 8,800,000","(RM 14,716 / m2)",4,5,598 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 812,000","(RM 5,463 / m2)",4,4,148.64 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 1,880,000","(RM 9,165 / m2)",5,5,205.12 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 900,000","(RM 3,875 / m2)",5,5,232.25 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 900,000","(RM 3,875 / m2)",5,5,232.25 m2,House
"Gombak, Selangor","RM 5,600,000","(RM 8,217 / m2)",8,8,681.51 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 760,000","(RM 3,896 / m2)",4,3,195.09 m2,House
"Gombak, Selangor","RM 828,008","(RM 3,875 / m2)",4,4,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 470,000","(RM 1,874 / m2)",3,3,250.83 m2,Townhouse
"Kuala Lumpur, Kuala Lumpur","RM 828,000","(RM 3,714 / m2)",4,4,222.96 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 740,000","(RM 3,793 / m2)",4,3,195.09 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 1,870,000","(RM 18,150 / m2)",1,2,103.03 m2,Condo
"Gombak, Selangor","RM 828,000","(RM 3,714 / m2)",4,4,222.96 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 928,000","(RM 4,162 / m2)",4,4,222.96 m2,House
"Kinta, Perak","RM 215,800","(RM 2,600 / m2)",3,2,83 m2,House
"Gombak, Selangor","RM 747,000","(RM 3,829 / m2)",4,3,195.09 m2,House
"Gombak, Selangor","RM 828,800","(RM 3,879 / m2)",4,4,213.67 m2,House
"Sepang, Selangor","RM 449,000","(RM 4,045 / m2)",3,3,111 m2,Condo
"Sepang, Selangor","RM 449,000","(RM 4,045 / m2)",3,3,111 m2,Condo
Johor,"RM 630,000",(RM 409 / m2),4,3,"1,540 m2",House
"Kinta, Perak","RM 620,000","(RM 3,370 / m2)",3,2,183.95 m2,House
"Ulu Selangor, Selangor","RM 2,000,000",(RM 364 / m2),5,6,"5,500 m2",House
"Kuala Kangsar, Perak","RM 278,880","(RM 2,999 / m2)",4,2,93 m2,House
"Johor Bahru, Johor","RM 735,000","(RM 5,430 / m2)",4,4,135.36 m2,Condo
"Johor Bahru, Johor","RM 315,000","(RM 4,921 / m2)",2,1,64.01 m2,Condo
"Johor Bahru, Johor","RM 335,000","(RM 1,820 / m2)",4,2,184.03 m2,Condo
"Gombak, Selangor","RM 1,080,000","(RM 5,968 / m2)",4,3,180.97 m2,Condo
"Johor Bahru, Johor","RM 1,030,000",(RM 419 / m2),5,5,"2,457 m2",House
"Kinta, Perak","RM 288,000","(RM 2,296 / m2)",3,2,125.42 m2,House
"Ulu Langat, Selangor","RM 895,000",(RM 358 / m2),5,3,"2,500 m2",House
"Johor Bahru, Johor","RM 310,000","(RM 3,524 / m2)",3,2,87.98 m2,Apartment
"Kuala Lumpur, Kuala Lumpur","RM 3,960,000","(RM 31,930 / m2)",3,3,124.02 m2,Condo
"Gombak, Selangor","RM 465,000","(RM 4,137 / m2)",3,3,112.41 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 899,000","(RM 5,805 / m2)",4,3,154.86 m2,Condo
"Putrajaya, Putrajaya","RM 3,850,000",(RM 481 / m2),9,9,"8,000 m2",House
"Kuala Lumpur, Kuala Lumpur","RM 1,956,250","(RM 13,455 / m2)",4,3,145.39 m2,Condo
"Johor Bahru, Johor","RM 1,130,000",(RM 475 / m2),4,3,"2,380 m2",House
"Kinta, Perak","RM 358,000","(RM 2,141 / m2)",4,3,167.23 m2,House
"Kinta, Perak","RM 538,000","(RM 2,445 / m2)",4,4,220 m2,House
"Petaling, Selangor","RM 1,591,800","(RM 12,835 / m2)",2,2,124.02 m2,Condo
"Petaling, Selangor","RM 980,000","(RM 10,831 / m2)",2,2,90.48 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 890,000","(RM 7,214 / m2)",3,3,123.37 m2,Condo
"Johor Bahru, Johor","RM 350,000","(RM 5,726 / m2)",2,2,61.13 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 3,960,000","(RM 12,917 / m2)",3,5,306.57 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 610,000","(RM 3,992 / m2)",3,2,152.82 m2,Condo
"Johor Bahru, Johor","RM 370,000",(RM 395 / m2),3,2,937 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 2,590,000","(RM 10,322 / m2)",4,5,250.92 m2,Condo
"Johor Bahru, Johor","RM 328,000","(RM 3,510 / m2)",3,2,93.46 m2,Apartment
"Gombak, Selangor","RM 1,200,000",(RM 517 / m2),5,5,"2,323 m2",House
"Johor Bahru, Johor","RM 295,000","(RM 2,400 / m2)",3,2,122.91 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 298,000","(RM 3,765 / m2)",3,2,79.15 m2,Apartment
"Johor Bahru, Johor","RM 1,220,000","(RM 3,549 / m2)",5,5,343.73 m2,House
"Kinta, Perak","RM 398,000","(RM 1,485 / m2)",3,2,268.02 m2,House
"Kinta, Perak","RM 350,000","(RM 2,692 / m2)",4,3,130 m2,House
"Kinta, Perak","RM 330,000","(RM 2,306 / m2)",3,2,143.1 m2,House
"Kuala Kangsar, Perak","RM 268,000","(RM 1,748 / m2)",3,2,153.3 m2,House
"Kinta, Perak","RM 338,000","(RM 2,176 / m2)",4,3,155.34 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 1,138,000","(RM 9,792 / m2)",3,3,116.22 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 420,000","(RM 4,535 / m2)",3,2,92.62 m2,Condo
"Ulu Langat, Selangor","RM 320,000","(RM 3,596 / m2)",3,2,89 m2,Apartment
"Kuala Lumpur, Kuala Lumpur","RM 2,200,000","(RM 8,771 / m2)",3,2,250.83 m2,Condo
"Gombak, Selangor","RM 5,000,000","(RM 8,280 / m2)",6,7,603.85 m2,House
"Sepang, Selangor","RM 1,800,000","(RM 6,032 / m2)",5,6,298.39 m2,House
"Johor Bahru, Johor","RM 280,000","(RM 3,567 / m2)",3,2,78.5 m2,Apartment
"Kuala Lumpur, Kuala Lumpur","RM 530,000","(RM 5,144 / m2)",3,2,103.03 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,794,193","(RM 9,317 / m2)",4,4,192.58 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 850,000","(RM 5,083 / m2)",4,3,167.22 m2,Condo
"Seremban, Negeri Sembilan","RM 332,683","(RM 1,411 / m2)",4,3,235.78 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 899,000","(RM 5,805 / m2)",4,3,154.86 m2,Condo
"Kinta, Perak","RM 318,000","(RM 3,199 / m2)",3,2,99.4 m2,Condo
"Johor Bahru, Johor","RM 450,000","(RM 4,372 / m2)",3,2,102.93 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 799,000","(RM 6,443 / m2)",3,3,124.02 m2,Condo
"Johor Bahru, Johor","RM 348,000","(RM 5,062 / m2)",2,2,68.75 m2,Condo
"Johor Bahru, Johor","RM 558,000",(RM 279 / m2),4,4,"2,000 m2",House
"Kuala Lumpur, Kuala Lumpur","RM 550,000","(RM 4,873 / m2)",3,2,112.87 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 899,000","(RM 5,805 / m2)",4,3,154.86 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,000,000","(RM 8,751 / m2)",3,3,114.27 m2,Condo
"Johor Bahru, Johor","RM 1,580,000",(RM 479 / m2),5,5,"3,300 m2",House
Johor,"RM 338,000",(RM 352 / m2),4,3,960 m2,House
"Kota Kinabalu, Sabah","RM 500,000","(RM 3,864 / m2)",3,2,129.41 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 4,000,000","(RM 8,398 / m2)",6,6,476.3 m2,House
"Ulu Langat, Selangor","RM 1,150,000","(RM 3,523 / m2)",5,5,326.45 m2,House
"Gombak, Selangor","RM 1,500,000",(RM 600 / m2),4,5,"2,500 m2",House
"Kuala Lumpur, Kuala Lumpur","RM 260,000","(RM 3,312 / m2)",3,2,78.5 m2,Apartment
"Ulu Langat, Selangor","RM 1,450,000","(RM 6,003 / m2)",4,4,241.54 m2,House
"Petaling, Selangor","RM 188,000","(RM 2,375 / m2)",3,2,79.15 m2,Apartment
"Putrajaya, Putrajaya","RM 580,000","(RM 6,332 / m2)",3,2,91.6 m2,Condo
"Petaling, Selangor","RM 400,000","(RM 4,394 / m2)",3,2,91.04 m2,Condo
"Johor Bahru, Johor","RM 598,000","(RM 3,353 / m2)",5,3,178.37 m2,House
"Petaling, Selangor","RM 400,000","(RM 5,065 / m2)",3,2,78.97 m2,Apartment
"Petaling, Selangor","RM 550,000","(RM 4,169 / m2)",4,3,131.92 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 799,000","(RM 6,443 / m2)",3,3,124.02 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 450,000","(RM 4,657 / m2)",3,2,96.62 m2,Condo
"Klang, Selangor","RM 200,000","(RM 2,632 / m2)",3,2,75.99 m2,Apartment
"Johor Bahru, Johor","RM 410,000","(RM 4,504 / m2)",3,2,91.04 m2,Apartment
"Kuala Lumpur, Kuala Lumpur","RM 530,000","(RM 4,696 / m2)",3,2,112.87 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,000,000","(RM 6,165 / m2)",4,4,162.2 m2,Condo
"Johor Bahru, Johor","RM 280,000","(RM 3,173 / m2)",3,2,88.25 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 550,000","(RM 4,873 / m2)",3,2,112.87 m2,Condo
"Johor Bahru, Johor","RM 535,000","(RM 3,388 / m2)",4,3,157.93 m2,House
"Petaling, Selangor","RM 245,000","(RM 2,442 / m2)",3,2,100.33 m2,Apartment
"Kuala Lumpur, Kuala Lumpur","RM 550,000","(RM 6,393 / m2)",3,2,86.03 m2,Condo
"Gombak, Selangor","RM 459,000",(RM 327 / m2),3,2,"1,405 m2",Condo
"Petaling, Selangor","RM 465,000","(RM 3,775 / m2)",3,2,123.19 m2,Condo
"Petaling, Selangor","RM 1,250,000","(RM 12,024 / m2)",3,2,103.96 m2,Condo
"Petaling, Selangor","RM 249,000","(RM 2,635 / m2)",3,2,94.48 m2,Apartment
"Kuala Lumpur, Kuala Lumpur","RM 790,000","(RM 4,724 / m2)",4,3,167.22 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 500,000","(RM 4,884 / m2)",3,2,102.38 m2,Condo
"Petaling, Selangor","RM 5,600,000","(RM 8,217 / m2)",7,7,681.51 m2,House
"Petaling, Selangor","RM 450,000","(RM 8,712 / m2)",2,1,51.65 m2,Condo
"Johor Bahru, Johor","RM 1,000,000","(RM 7,176 / m2)",4,3,139.35 m2,Serviced Apartment
"Kuala Lumpur, Kuala Lumpur","RM 380,000","(RM 3,675 / m2)",3,2,103.4 m2,Condo
"Ulu Langat, Selangor","RM 1,700,000","(RM 5,185 / m2)",5,4,327.84 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 1,236,800","(RM 10,754 / m2)",3,2,115.01 m2,Condo
"Petaling, Selangor","RM 538,888","(RM 3,369 / m2)",4,3,159.97 m2,Condo
"Johor Bahru, Johor","RM 528,000","(RM 4,858 / m2)",4,3,108.69 m2,House
"Petaling, Selangor","RM 3,000,000",(RM 548 / m2),8,8,"5,475 m2",House
"Petaling, Selangor","RM 399,000","(RM 3,119 / m2)",3,2,127.92 m2,Apartment
"Petaling, Selangor","RM 430,000","(RM 4,643 / m2)",3,2,92.62 m2,Condo
"Klang, Selangor","RM 549,000","(RM 3,788 / m2)",4,3,144.92 m2,House
"Petaling, Selangor","RM 2,500,000","(RM 7,082 / m2)",5,6,353.02 m2,House
"Petaling, Selangor","RM 1,950,000","(RM 5,584 / m2)",6,7,349.21 m2,House
"Petaling, Selangor","RM 320,000","(RM 3,756 / m2)",4,2,85.19 m2,Condo
"Johor Bahru, Johor","RM 1,880,000","(RM 6,173 / m2)",6,6,304.53 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 670,000","(RM 6,556 / m2)",3,2,102.19 m2,Condo
"Petaling, Selangor","RM 722,536","(RM 6,619 / m2)",3,2,109.16 m2,Condo
"Petaling, Selangor","RM 6,900,000","(RM 7,041 / m2)",6,7,980 m2,House
"Ulu Langat, Selangor","RM 1,670,000","(RM 3,595 / m2)",6,6,464.5 m2,House
"Sepang, Selangor","RM 598,000","(RM 4,751 / m2)",5,3,125.88 m2,House
"Petaling, Selangor","RM 370,000","(RM 3,621 / m2)",3,2,102.19 m2,Condo
"Klang, Selangor","RM 599,000","(RM 2,866 / m2)",4,3,209.03 m2,House
"Petaling, Selangor","RM 350,000","(RM 3,966 / m2)",3,2,88.25 m2,Condo
"Johor Bahru, Johor","RM 530,000",(RM 288 / m2),4,3,"1,838 m2",House
"Petaling, Selangor","RM 650,000","(RM 4,876 / m2)",4,3,133.31 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 520,000","(RM 4,370 / m2)",3,2,119 m2,Condo
"Ulu Langat, Selangor","RM 328,000","(RM 4,153 / m2)",3,2,78.97 m2,Apartment
"Petaling, Selangor","RM 499,888","(RM 3,125 / m2)",4,3,159.97 m2,Condo
"Johor Bahru, Johor","RM 598,000","(RM 2,926 / m2)",4,4,204.38 m2,House
"Gombak, Selangor","RM 1,250,000",(RM 451 / m2),4,3,"2,771 m2",House
"Petaling, Selangor","RM 650,000","(RM 3,887 / m2)",4,3,167.22 m2,House
"Petaling, Selangor","RM 2,100,000","(RM 5,651 / m2)",6,5,371.6 m2,House
"Petaling, Selangor","RM 220,000","(RM 2,329 / m2)",3,2,94.48 m2,Apartment
"Sepang, Selangor","RM 398,000",(RM 498 / m2),3,2,800 m2,Condo
"Petaling, Selangor","RM 388,000",(RM 485 / m2),3,2,800 m2,Condo
"Kinta, Perak","RM 238,000","(RM 2,559 / m2)",4,2,93 m2,House
"Kinta, Perak","RM 338,800","(RM 3,643 / m2)",4,2,93 m2,House
"Putrajaya, Putrajaya","RM 250,000","(RM 4,485 / m2)",2,2,55.74 m2,Condo
"Seremban, Negeri Sembilan","RM 243,000","(RM 4,025 / m2)",2,2,60.38 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 770,000","(RM 3,604 / m2)",4,3,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 718,000","(RM 8,051 / m2)",3,2,89.18 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 653,000","(RM 4,788 / m2)",3,3,136.38 m2,Condo
"Petaling, Selangor","RM 430,000","(RM 3,306 / m2)",3,3,130.06 m2,Condo
"Petaling, Selangor","RM 750,000","(RM 8,499 / m2)",3,2,88.25 m2,Condo
"Gombak, Selangor","RM 429,000",(RM 306 / m2),3,2,"1,400 m2",Condo
"Kuala Lumpur, Kuala Lumpur","RM 460,000","(RM 1,942 / m2)",4,4,236.89 m2,House
