location,list_price,unit_price,number_bedroom,number_bathroom,area,type
"Putrajaya, Putrajaya","RM 220,000","(RM 4,736 / m2)",2,2,46.45 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 658,000","(RM 4,196 / m2)",4,3,156.82 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 590,000","(RM 3,343 / m2)",3,2,176.51 m2,Condo
"Petaling, Selangor","RM 550,000","(RM 3,339 / m2)",4,3,164.71 m2,Condo
"Gombak, Selangor","RM 840,000","(RM 3,931 / m2)",4,4,213.67 m2,House
"Petaling, Selangor","RM 730,000",(RM 785 / m2),3,2,930 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 750,000",(RM 789 / m2),3,2,950 m2,Condo
"Petaling, Selangor","RM 430,000","(RM 3,306 / m2)",3,2,130.06 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 418,000","(RM 2,812 / m2)",3,3,148.64 m2,Condo
"Ulu Langat, Selangor","RM 489,000","(RM 4,049 / m2)",3,3,120.77 m2,Condo
"Ulu Langat, Selangor","RM 518,000","(RM 3,838 / m2)",3,3,134.98 m2,Condo
"Gombak, Selangor","RM 450,000","(RM 3,575 / m2)",3,2,125.88 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 447,000","(RM 3,512 / m2)",3,2,127.27 m2,Condo
"Petaling, Selangor","RM 450,000","(RM 3,588 / m2)",3,3,125.41 m2,Condo
"Gombak, Selangor","RM 430,000","(RM 3,416 / m2)",3,2,125.88 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,000,000","(RM 6,999 / m2)",4,3,142.88 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 708,800","(RM 8,222 / m2)",3,2,86.21 m2,Condo
"Barat Daya, Pulau Pinang","RM 650,000","(RM 2,684 / m2)",4,4,242.19 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 420,000",(RM 300 / m2),3,2,"1,400 m2",Condo
"Petaling, Selangor","RM 450,000","(RM 3,567 / m2)",3,2,126.16 m2,Condo
"Petaling, Selangor","RM 230,000","(RM 4,502 / m2)",2,2,51.09 m2,Condo
"Petaling, Selangor","RM 300,000","(RM 4,037 / m2)",2,2,74.32 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 485,000",(RM 411 / m2),3,2,"1,180 m2",Condo
"Kuala Lumpur, Kuala Lumpur","RM 500,000","(RM 1,922 / m2)",5,4,260.12 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 428,000","(RM 3,363 / m2)",3,2,127.27 m2,Condo
"Petaling, Selangor","RM 750,000","(RM 8,499 / m2)",3,2,88.25 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 705,880","(RM 3,377 / m2)",4,4,209.03 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 530,000","(RM 4,754 / m2)",3,3,111.48 m2,Condo
"Ulu Langat, Selangor","RM 500,000","(RM 2,705 / m2)",4,3,184.87 m2,House
"Petaling, Selangor","RM 748,000","(RM 3,501 / m2)",4,4,213.67 m2,House
"Putrajaya, Putrajaya","RM 250,000","(RM 4,485 / m2)",2,2,55.74 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 430,000","(RM 3,379 / m2)",3,2,127.27 m2,Condo
"Petaling, Selangor","RM 717,800","(RM 8,308 / m2)",3,2,86.4 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 670,000","(RM 2,885 / m2)",5,5,232.25 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 840,000","(RM 3,931 / m2)",4,4,213.67 m2,House
"Petaling, Selangor","RM 443,000","(RM 3,532 / m2)",3,2,125.41 m2,Condo
"Ulu Langat, Selangor","RM 300,000","(RM 3,229 / m2)",3,2,92.9 m2,Condo
"Petaling, Selangor","RM 900,000","(RM 3,875 / m2)",5,5,232.25 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 856,800","(RM 3,862 / m2)",4,4,221.85 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 600,000","(RM 7,876 / m2)",3,2,76.18 m2,Condo
"Petaling, Selangor","RM 250,000","(RM 3,450 / m2)",2,2,72.46 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 700,000","(RM 8,146 / m2)",3,2,85.93 m2,Condo
"Kuala Selangor, Selangor","RM 443,000","(RM 3,406 / m2)",3,2,130.06 m2,Condo
"Gombak, Selangor","RM 850,000","(RM 3,978 / m2)",4,4,213.67 m2,House
"Gombak, Selangor","RM 445,800","(RM 3,581 / m2)",3,2,124.49 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 442,000","(RM 3,398 / m2)",3,2,130.06 m2,Condo
"Petaling, Selangor","RM 430,000","(RM 3,306 / m2)",3,2,130.06 m2,Condo
"Petaling, Selangor","RM 828,000","(RM 3,714 / m2)",4,3,222.96 m2,House
"Petaling, Selangor","RM 700,000","(RM 3,014 / m2)",5,5,232.25 m2,Condo
"Petaling, Selangor","RM 920,000","(RM 3,668 / m2)",5,5,250.83 m2,House
"Petaling, Selangor","RM 780,000","(RM 3,477 / m2)",5,5,224.35 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 750,800","(RM 8,508 / m2)",3,2,88.25 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 878,600","(RM 4,133 / m2)",4,4,212.56 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 430,000","(RM 3,379 / m2)",3,2,127.27 m2,Condo
"Petaling, Selangor","RM 820,000","(RM 3,678 / m2)",4,4,222.96 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 435,800","(RM 3,086 / m2)",3,2,141.21 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 838,800","(RM 3,797 / m2)",4,4,220.92 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 568,800","(RM 3,738 / m2)",3,3,152.17 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 415,000",(RM 346 / m2),3,2,"1,200 m2",Condo
"Kuala Lumpur, Kuala Lumpur","RM 445,800","(RM 3,581 / m2)",3,2,124.49 m2,Condo
"Petaling, Selangor","RM 900,000","(RM 3,875 / m2)",5,5,232.25 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 418,000","(RM 6,000 / m2)",3,2,69.67 m2,Condo
"Sepang, Selangor","RM 299,000","(RM 2,476 / m2)",4,3,120.77 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 588,000","(RM 3,754 / m2)",3,3,156.63 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 443,000","(RM 3,406 / m2)",3,2,130.06 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 400,000",(RM 444 / m2),3,2,900 m2,Condo
"Ulu Langat, Selangor","RM 489,000","(RM 4,201 / m2)",3,3,116.4 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 550,000","(RM 4,075 / m2)",3,3,134.98 m2,Condo
"Petaling, Selangor","RM 870,000","(RM 3,902 / m2)",4,4,222.96 m2,House
"Petaling, Selangor","RM 250,000","(RM 3,844 / m2)",2,2,65.03 m2,Condo
"Petaling, Selangor","RM 450,000","(RM 3,460 / m2)",3,2,130.06 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 770,000","(RM 3,315 / m2)",4,3,232.25 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 420,800","(RM 5,807 / m2)",3,2,72.46 m2,Condo
"Petaling, Selangor","RM 420,000",(RM 300 / m2),3,2,"1,400 m2",Condo
"Petaling, Selangor","RM 398,000","(RM 5,713 / m2)",3,2,69.67 m2,Condo
"Petaling, Selangor","RM 900,000","(RM 3,875 / m2)",5,5,232.25 m2,House
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Petaling, Selangor","RM 800,000",(RM 333 / m2),4,4,"2,400 m2",House
"Petaling, Selangor","RM 400,000","(RM 5,741 / m2)",3,2,69.67 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 530,000","(RM 5,705 / m2)",3,2,92.9 m2,Condo
"Petaling, Selangor","RM 730,000","(RM 7,858 / m2)",3,2,92.9 m2,Condo
"Petaling, Selangor","RM 240,000","(RM 4,893 / m2)",2,2,49.05 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 658,000","(RM 4,196 / m2)",4,3,156.82 m2,House
"Gombak, Selangor","RM 928,000","(RM 4,162 / m2)",4,4,222.96 m2,House
"Putrajaya, Putrajaya","RM 240,000","(RM 4,802 / m2)",2,2,49.98 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 550,000",(RM 466 / m2),3,2,"1,180 m2",Condo
"Kuala Lumpur, Kuala Lumpur","RM 828,800","(RM 3,879 / m2)",4,4,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 750,000",(RM 577 / m2),3,2,"1,300 m2",Condo
"Kuala Lumpur, Kuala Lumpur","RM 730,000",(RM 785 / m2),3,2,930 m2,Condo
"Papar, Sabah","RM 300,960","(RM 3,856 / m2)",3,2,78.04 m2,Condo
"Hilir Perak, Perak","RM 200,000",(RM 222 / m2),3,2,900 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 485,000",(RM 404 / m2),3,2,"1,200 m2",Condo
"Gombak, Selangor","RM 445,000","(RM 3,575 / m2)",3,2,124.49 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 440,000","(RM 3,534 / m2)",3,2,124.49 m2,Condo
"Petaling, Selangor","RM 800,000","(RM 3,445 / m2)",4,4,232.25 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 728,000","(RM 4,195 / m2)",4,4,173.54 m2,House
"Petaling, Selangor","RM 700,000","(RM 3,014 / m2)",5,5,232.25 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 758,800","(RM 3,875 / m2)",4,4,195.83 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 430,000","(RM 3,379 / m2)",3,2,127.27 m2,Condo
"Petaling, Selangor","RM 429,000",(RM 306 / m2),3,2,"1,400 m2",Condo
"Seremban, Negeri Sembilan","RM 299,000","(RM 2,476 / m2)",4,3,120.77 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,179 / m2)",2,1,44.41 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 850,000","(RM 3,978 / m2)",4,4,213.67 m2,House
"Petaling, Selangor","RM 388,800",(RM 518 / m2),3,2,750 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 650,800","(RM 4,195 / m2)",4,3,155.14 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 488,000",(RM 400 / m2),3,2,"1,220 m2",Condo
"Gombak, Selangor","RM 828,800","(RM 3,879 / m2)",4,4,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 200,000","(RM 2,134 / m2)",3,3,93.74 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 428,000","(RM 3,291 / m2)",3,2,130.06 m2,Condo
"Petaling, Selangor","RM 580,000","(RM 3,673 / m2)",3,3,157.93 m2,House
"Ulu Langat, Selangor","RM 330,000","(RM 3,552 / m2)",3,2,92.9 m2,Condo
"Gombak, Selangor","RM 300,000","(RM 3,229 / m2)",3,2,92.9 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 530,000","(RM 4,355 / m2)",3,3,121.7 m2,Condo
"Petaling, Selangor","RM 418,000",(RM 299 / m2),3,3,"1,400 m2",Condo
"Kuala Lumpur, Kuala Lumpur","RM 428,800","(RM 3,369 / m2)",3,2,127.27 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 638,000","(RM 5,733 / m2)",3,3,111.29 m2,Condo
"Gombak, Selangor","RM 550,000","(RM 4,725 / m2)",3,3,116.4 m2,Condo
"Sepang, Selangor","RM 249,000","(RM 3,942 / m2)",2,2,63.17 m2,Condo
"Putrajaya, Putrajaya","RM 250,000","(RM 4,485 / m2)",2,2,55.74 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 600,800","(RM 6,545 / m2)",3,2,91.79 m2,Condo
"Petaling, Selangor","RM 450,000","(RM 1,615 / m2)",3,3,278.7 m2,House
"Gombak, Selangor","RM 1,038,000","(RM 4,008 / m2)",5,5,259.01 m2,House
"Petaling, Selangor","RM 820,000","(RM 3,838 / m2)",4,4,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 420,800",(RM 468 / m2),3,2,900 m2,Condo
"Klang, Selangor","RM 515,000","(RM 2,359 / m2)",4,3,218.31 m2,House
"Petaling, Selangor","RM 450,000","(RM 3,229 / m2)",3,3,139.35 m2,House
"Petaling, Selangor","RM 828,800","(RM 3,771 / m2)",4,4,219.8 m2,House
"Petaling, Selangor","RM 788,800","(RM 3,859 / m2)",4,3,204.38 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 856,800","(RM 4,320 / m2)",4,4,198.34 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 950,000","(RM 9,638 / m2)",3,2,98.57 m2,Serviced Apartment
"Gombak, Selangor","RM 238,000","(RM 4,591 / m2)",2,2,51.84 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 828,800","(RM 3,501 / m2)",4,4,236.71 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 430,000","(RM 3,379 / m2)",3,2,127.27 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 418,000","(RM 3,103 / m2)",3,3,134.7 m2,Condo
"Petaling, Selangor","RM 750,000","(RM 3,510 / m2)",4,3,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 505,700","(RM 5,136 / m2)",3,2,98.47 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 420,000","(RM 2,512 / m2)",3,2,167.22 m2,Condo
"Petaling, Selangor","RM 730,000","(RM 8,449 / m2)",3,2,86.4 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 658,000","(RM 4,196 / m2)",4,3,156.82 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 430,000","(RM 3,379 / m2)",3,2,127.27 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 680,000","(RM 2,928 / m2)",5,5,232.25 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 378,800","(RM 6,274 / m2)",2,1,60.38 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 530,000","(RM 5,705 / m2)",3,2,92.9 m2,Condo
"Petaling, Selangor","RM 1,108,800","(RM 4,872 / m2)",5,5,227.6 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 418,000","(RM 3,103 / m2)",3,3,134.7 m2,Condo
"Petaling, Selangor","RM 428,000",(RM 317 / m2),3,2,"1,350 m2",Condo
"Seremban, Negeri Sembilan","RM 299,999","(RM 2,484 / m2)",4,3,120.77 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 415,000",(RM 352 / m2),3,2,"1,180 m2",Condo
"Petaling, Selangor","RM 480,000","(RM 5,806 / m2)",3,2,82.68 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 836,000","(RM 4,591 / m2)",4,4,182.08 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 928,000","(RM 4,343 / m2)",4,4,213.67 m2,House
"Petaling, Selangor","RM 650,000","(RM 8,532 / m2)",3,2,76.18 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 220,000","(RM 4,736 / m2)",2,2,46.45 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 528,000","(RM 3,789 / m2)",3,2,139.35 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 760,000","(RM 8,612 / m2)",3,2,88.25 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 420,000",(RM 467 / m2),3,3,900 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 430,000","(RM 3,379 / m2)",3,2,127.27 m2,Condo
"Petaling, Selangor","RM 1,108,000","(RM 4,587 / m2)",5,5,241.54 m2,House
"Petaling, Selangor","RM 700,000","(RM 3,014 / m2)",5,5,232.25 m2,Condo
"Petaling, Selangor","RM 718,800","(RM 8,338 / m2)",3,2,86.21 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 530,000","(RM 5,186 / m2)",3,2,102.19 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 489,123","(RM 4,250 / m2)",3,2,115.1 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,080,000","(RM 4,506 / m2)",4,4,239.68 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 518,000","(RM 3,838 / m2)",3,3,134.98 m2,Condo
"Seremban, Negeri Sembilan","RM 300,000","(RM 3,588 / m2)",2,2,83.61 m2,Condo
"Petaling, Selangor","RM 245,000","(RM 4,795 / m2)",2,2,51.09 m2,Condo
"Putrajaya, Putrajaya","RM 210,000","(RM 4,521 / m2)",2,1,46.45 m2,Condo
"Petaling, Selangor","RM 800,000","(RM 3,744 / m2)",4,4,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 428,000","(RM 3,291 / m2)",3,2,130.06 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 600,000","(RM 7,176 / m2)",3,2,83.61 m2,Condo
"Petaling, Selangor","RM 279,000","(RM 3,754 / m2)",2,2,74.32 m2,Condo
"Ulu Langat, Selangor","RM 523,000","(RM 3,875 / m2)",3,3,134.98 m2,Condo
"Seremban, Negeri Sembilan","RM 299,999","(RM 2,484 / m2)",4,3,120.77 m2,Condo
"Sepang, Selangor","RM 350,000","(RM 2,898 / m2)",4,3,120.77 m2,Condo
"Petaling, Selangor","RM 230,000","(RM 4,126 / m2)",2,2,55.74 m2,Condo
"Petaling, Selangor","RM 760,800","(RM 3,722 / m2)",4,3,204.38 m2,House
"Gombak, Selangor","RM 828,800","(RM 3,879 / m2)",4,4,213.67 m2,House
"Gombak, Selangor","RM 378,800","(RM 1,699 / m2)",4,4,222.96 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 1,000,000","(RM 6,999 / m2)",4,3,142.88 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 750,000","(RM 8,499 / m2)",3,2,88.25 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 750,000",(RM 806 / m2),3,2,930 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 850,000","(RM 3,978 / m2)",4,4,213.67 m2,House
"Putrajaya, Putrajaya","RM 240,000","(RM 4,714 / m2)",1,1,50.91 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 200,000","(RM 7,176 / m2)",1,1,27.87 m2,Condo
"Petaling, Selangor","RM 800,000","(RM 3,914 / m2)",4,3,204.38 m2,House
"Sepang, Selangor","RM 486,000","(RM 5,625 / m2)",3,2,86.4 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 708,800",(RM 764 / m2),3,2,928 m2,Condo
"Petaling, Selangor","RM 850,000","(RM 3,660 / m2)",4,4,232.25 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 1,038,000","(RM 3,897 / m2)",5,5,266.34 m2,House
"Petaling, Selangor","RM 443,000","(RM 3,406 / m2)",3,2,130.06 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 848,000","(RM 3,969 / m2)",4,4,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 757,000","(RM 8,781 / m2)",3,2,86.21 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 658,000","(RM 3,080 / m2)",3,2,213.67 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 482,101","(RM 4,289 / m2)",3,2,112.41 m2,Condo
"Petaling, Selangor","RM 445,000","(RM 3,421 / m2)",3,2,130.06 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 828,000","(RM 3,875 / m2)",4,4,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 568,500",(RM 471 / m2),3,2,"1,208 m2",Condo
"Gombak, Selangor","RM 550,000","(RM 4,725 / m2)",3,3,116.4 m2,Condo
"Petaling, Selangor","RM 828,000",(RM 276 / m2),4,4,"3,000 m2",House
"Kuala Lumpur, Kuala Lumpur","RM 428,000","(RM 3,291 / m2)",3,2,130.06 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 230,000","(RM 4,725 / m2)",2,2,48.68 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 608,000","(RM 3,877 / m2)",4,3,156.82 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 718,000","(RM 7,729 / m2)",3,2,92.9 m2,Condo
"Petaling, Selangor","RM 443,000","(RM 3,406 / m2)",3,2,130.06 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 428,000","(RM 3,291 / m2)",3,2,130.06 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 596,800","(RM 3,597 / m2)",3,3,165.92 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 466,000","(RM 5,636 / m2)",3,2,82.68 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 429,000","(RM 5,131 / m2)",3,2,83.61 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 828,000","(RM 3,714 / m2)",4,4,222.96 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 450,000","(RM 1,615 / m2)",3,3,278.7 m2,Townhouse
"Gombak, Selangor","RM 530,000","(RM 5,705 / m2)",3,2,92.9 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 445,800","(RM 3,581 / m2)",3,2,124.49 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 708,000","(RM 8,023 / m2)",3,2,88.25 m2,Condo
"Gombak, Selangor","RM 805,000","(RM 3,611 / m2)",4,4,222.96 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 3,450,000","(RM 10,239 / m2)",5,5,336.95 m2,Condo
"Gombak, Selangor","RM 468,000","(RM 3,598 / m2)",3,3,130.06 m2,Townhouse
"Kuala Lumpur, Kuala Lumpur","RM 488,000",(RM 407 / m2),3,2,"1,200 m2",Condo
"Petaling, Selangor","RM 430,000","(RM 3,306 / m2)",3,2,130.06 m2,Condo
"Ulu Langat, Selangor","RM 549,000","(RM 4,067 / m2)",3,3,134.98 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 420,000",(RM 300 / m2),3,2,"1,400 m2",Condo
"Petaling, Selangor","RM 443,000","(RM 3,406 / m2)",3,2,130.06 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 421,888",(RM 116 / m2),4,4,"3,650 m2",House
"Kuala Lumpur, Kuala Lumpur","RM 432,000","(RM 3,394 / m2)",3,2,127.27 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 730,000","(RM 8,186 / m2)",3,2,89.18 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 467,000","(RM 5,405 / m2)",3,2,86.4 m2,Condo
"Petaling, Selangor","RM 630,000","(RM 8,270 / m2)",3,2,76.18 m2,Condo
"Petaling, Selangor","RM 818,800","(RM 3,832 / m2)",4,4,213.67 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 1,150,000","(RM 4,761 / m2)",4,4,241.54 m2,House
"Petaling, Selangor","RM 230,000","(RM 4,602 / m2)",2,2,49.98 m2,Condo
"Gombak, Selangor","RM 429,000",(RM 306 / m2),3,2,"1,400 m2",Condo
"Petaling, Selangor","RM 830,000",(RM 332 / m2),4,4,"2,500 m2",House
"Kuala Lumpur, Kuala Lumpur","RM 485,000",(RM 404 / m2),3,2,"1,200 m2",Condo
"Gombak, Selangor","RM 430,000","(RM 3,416 / m2)",3,2,125.88 m2,Condo
"Petaling, Selangor","RM 239,000","(RM 4,967 / m2)",2,2,48.12 m2,Condo
"Petaling, Selangor","RM 230,000","(RM 4,584 / m2)",2,2,50.17 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 530,000","(RM 5,593 / m2)",4,2,94.76 m2,Condo
"Petaling, Selangor","RM 433,000","(RM 3,329 / m2)",3,2,130.06 m2,Condo
"Petaling, Selangor","RM 1,750,000","(RM 6,496 / m2)",5,5,269.41 m2,House
